Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,overlap_count,pathway_size,rich_factor,gene_ratio,neg_log10_pval
GO_Biological_Process_2021,negative regulation of protein activation cascade (GO:2000258),1/9,0.0026972559359141,0.0215538637559529,0,0,499.65,2955.689739283532,TFPI,1,9,0.1111111111111111,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,"complement activation, classical pathway (GO:0006958)",1/9,0.0026972559359141,0.0215538637559529,0,0,499.65,2955.689739283532,C1S,1,9,0.1111111111111111,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,humoral immune response mediated by circulating immunoglobulin (GO:0002455),1/11,0.0032958256764104,0.0215538637559529,0,0,399.68,2284.210591570385,C1S,1,11,0.09090909090909091,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,negative regulation of hemostasis (GO:1900047),1/12,0.0035949984464796,0.0215538637559529,0,0,363.3272727272727,2044.8828145385055,TFPI,1,12,0.08333333333333333,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,high-density lipoprotein particle assembly (GO:0034380),1/13,0.0038940964853966,0.0215538637559529,0,0,333.03333333333336,1847.7667100463036,APOM,1,13,0.07692307692307693,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,negative regulation of coagulation (GO:0050819),1/14,0.0041931197986946,0.0215538637559529,0,0,307.4,1682.8029678019434,TFPI,1,14,0.07142857142857142,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,reverse cholesterol transport (GO:0043691),1/17,0.0050897414535705,0.0215538637559529,0,0,249.725,1318.6799159042428,APOM,1,17,0.058823529411764705,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,high-density lipoprotein particle remodeling (GO:0034375),1/18,0.0053884659389882,0.0215538637559529,0,0,235.0235294117647,1227.644124299904,APOM,1,18,0.05555555555555555,0.16666666666666666,1.6664748666874478
GO_Biological_Process_2021,cellular response to steroid hormone stimulus (GO:0071383),1/21,0.0062841913325394,0.0223437914045846,0,0,199.74,1012.6254955871668,TFPI,1,21,0.047619047619047616,0.16666666666666666,1.6508431317404888
GO_Biological_Process_2021,cholesterol efflux (GO:0033344),1/24,0.0071792448741713,0.0229735835973481,0,0,173.66086956521738,857.2874884567655,APOM,1,24,0.041666666666666664,0.16666666666666666,1.6387712549067317
